Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200
rockstar (feat. 21 Savage),Post Malone,6507991,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,51
Believer,Imagine Dragons,6619874,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,51
Sweet but Psycho,Ava Max,6009028,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,51
Lucid Dreams,Juice WRLD,14717691,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,51
Happier,Marshmello,7750345,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,51
Shallow,Lady Gaga,8172076,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,51
SICKO MODE,Travis Scott,6137412,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,51
SAD!,XXXTENTACION,6318622,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,51
Without Me,Halsey,6587181,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,51
Better Now,Post Malone,5632449,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,51
Girls Like You (feat. Cardi B),Maroon 5,5841097,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,51
Shape of You,Ed Sheeran,6263902,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,51
Moonlight,XXXTENTACION,5409931,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,50
Perfect,Ed Sheeran,5589211,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,50
High Hopes,Panic! At The Disco,5854006,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,50
Youngblood,5 Seconds of Summer,5409660,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,50
Calma - Remix,Pedro Capó,5494655,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,50
Say You Won't Let Go,James Arthur,5690890,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,50
Eastside (with Halsey & Khalid),benny blanco,5989530,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,50
Jocelyn Flores,XXXTENTACION,5697439,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,50
I Like Me Better,Lauv,5522412,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,49
Dancing With A Stranger (with Normani),Sam Smith,5771021,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,49
Let Me Down Slowly,Alec Benjamin,5267991,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,48
Too Good At Goodbyes,Sam Smith,4576010,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,47
