Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200,ID,Tempo,Key,Duration,Loudness,Time Signature,Number of Samples
rockstar (feat. 21 Savage),Post Malone,6507991,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,51,0e7ipj03S05BNilyu5bRzt,159.801,5,218.14667,-6.136,4,4810134
Believer,Imagine Dragons,6619874,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,51,0pqnGHJpmpxLKifKRmU6WP,124.949,10,204.34666,-4.374,4,4505844
Sweet but Psycho,Ava Max,6009028,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,51,25sgk305KZfyuqVBQIahim,133.002,1,187.43633,-4.724,4,4132971
Lucid Dreams,Juice WRLD,14717691,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,51,285pBltuF7vW8TeWk8hdRR,83.903,6,239.83578,-7.23,4,5288379
Happier,Marshmello,7750345,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,51,2dpaYNEQHiRxtZbfNsse99,100.015,5,214.28957,-2.749,4,4725085
Shallow,Lady Gaga,8172076,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,51,2VxeLyX666F8uXCJ0dZF8B,95.799,7,215.73334,-6.362,4,4756920
SICKO MODE,Travis Scott,6137412,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,51,2xLMifQCjDGFmkHkpNLD9h,155.008,8,312.8204,-3.714,4,6897690
SAD!,XXXTENTACION,6318622,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,51,3ee8Jmje8o58CHK66QrVC2,75.023,8,166.60553,-4.88,4,3673652
Without Me,Halsey,6587181,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,51,5p7ujcrUXASCNwRaWNHR1C,136.041,6,201.66068,-7.05,4,4446618
Better Now,Post Malone,5632449,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,51,7dt6x5M1jzdTEt8oCbisTK,145.038,10,231.26666,-5.804,4,5099430
Girls Like You (feat. Cardi B),Maroon 5,5841097,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,51,7fa9MBXhVfQ8P8Df9OEbD8,124.959,0,235.54523,-6.825,4,5193772
Shape of You,Ed Sheeran,6263902,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,51,7qiZfU4dY1lWllzX7mPBI3,95.977,1,233.71265,-3.183,4,5153364
Moonlight,XXXTENTACION,5409931,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,50,0JP9xo3adEtGSdUEISiszL,128.009,9,135.0904,-5.723,4,2978743
Perfect,Ed Sheeran,5589211,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,50,0tgVpDi06FyKpA1z0VMD4v,95.05,8,263.4,-6.312,3,5807970
High Hopes,Panic! At The Disco,5854006,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,50,1rqqCSm0Qe4I9rUvWncaom,82.014,5,190.94667,-2.729,4,4210374
Youngblood,5 Seconds of Summer,5409660,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,50,2iUXsYOEPhVqEBwsqP70rE,120.274,7,203.41788,-5.114,4,4485364
Calma - Remix,Pedro Capó,5494655,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,50,5iwz1NiezX7WWjnCgY5TH4,126.899,11,238.2,-4.218,4,5252310
Say You Won't Let Go,James Arthur,5690890,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,50,5uCax9HTNlzGybIStD3vDh,85.043,10,211.46667,-7.398,4,4662840
Eastside (with Halsey & Khalid),benny blanco,5989530,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,50,7FGq80cy8juXBCD2nrqdWU,89.949,6,170.76971,-7.665,4,3765472
Jocelyn Flores,XXXTENTACION,5697439,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,50,7m9OqQk4RVRkw9JJdeAw96,134.021,0,119.13333,-9.144,4,2626890
I Like Me Better,Lauv,5522412,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,49,2P91MQbaiQOfbiz9VqhqKQ,91.97,9,197.43665,-7.621,4,4353478
Dancing With A Stranger (with Normani),Sam Smith,5771021,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,49,6Qs4SXO9dwPj5GKvVOv8Ki,102.998,8,171.02989,-7.513,4,3771209
Let Me Down Slowly,Alec Benjamin,5267991,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,48,2qxmye6gAegTMjLKEBoR3d,150.073,1,169.35384,-5.714,4,3734252
